"Bank","Code","Country","Tag","Currency"
"Imperial Bank Limited","39","Kenya","imperialbank","KES"
"African Banking Corp. Bank Ltd","35","Kenya","africanbank","KES"
"Co-operative Bank of Kenya Limited","11","Kenya","cooperativebank","KES"
"Prime Bank Limited","10","Kenya","primebank","KES"
"Central Bank of Kenya","09","Kenya","centeralbankkenya","KES"
"Habib Bank Limited","08","Kenya","habibkenya","KES"
"Commercial Bank of Africa Limited","07","Kenya","bankafricakenya","KES"
"Bank of Baroda (Kenya Limited)","06","Kenya","barodabank","KES"
"Bank of India","05","Kenya","bankofindia","KES"
"Barclays Bank of Kenya Limited","03","Kenya","barclaysbank","KES"
"Standard Chartered Bank Kenya Limited","02","Kenya","standardbankkenya","KES"
"Kenya Commercial Bank Limited","01","Kenya","kenyabank","KES"
"National Bank of Kenya Limited","12","Kenya","nationalbankkenya","KES"
